Product_ID	Product_Name	Category
FUR-BO-10001798	Bush Somerset Collection Bookcase	Furniture
FUR-CH-10000454	"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"	Furniture
OFF-LA-10000240	Self-Adhesive Address Labels for Typewriters by Universal	Office Supplies
FUR-TA-10000577	Bretford CR4500 Series Slim Rectangular Table	Furniture
OFF-ST-10000760	Eldon Fold 'N Roll Cart System	Office Supplies
FUR-FU-10001487	"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"	Furniture
OFF-AR-10002833	Newell 322	Office Supplies
TEC-PH-10002275	Mitel 5320 IP Phone VoIP phone	Technology
OFF-BI-10003910	DXL Angle-View Binders with Locking Rings by Samsill	Office Supplies
OFF-AP-10002892	Belkin F5C206VTEL 6 Outlet Surge	Office Supplies
FUR-TA-10001539	Chromcraft Rectangular Conference Tables	Furniture
TEC-PH-10002033	Konftel 250 Conference phone - Charcoal black	Technology
OFF-PA-10002365	Xerox 1967	Office Supplies
OFF-BI-10003656	Fellowes PB200 Plastic Comb Binding Machine	Office Supplies
OFF-AP-10002311	"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"	Office Supplies
OFF-BI-10000756	Storex DuraTech Recycled Plastic Frosted Binders	Office Supplies
OFF-ST-10004186	"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"	Office Supplies
OFF-ST-10000107	Fellowes Super Stor/Drawer	Office Supplies
OFF-AR-10003056	Newell 341	Office Supplies
TEC-PH-10001949	Cisco SPA 501G IP Phone	Technology
OFF-BI-10002215	"Wilson Jones Hanging View Binder, White, 1"""	Office Supplies
OFF-AR-10000246	Newell 318	Office Supplies
OFF-AP-10001492	"Acco Six-Outlet Power Strip, 4' Cord Length"	Office Supplies
FUR-CH-10002774	"Global Deluxe Stacking Chair, Gray"	Furniture
FUR-TA-10000577	Wilson Jones Active Use Binders	Furniture
OFF-BI-10001634	Imation 8GB Mini TravelDrive USB 2.0 Flash Drive	Office Supplies
TEC-AC-10003027	"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"	Technology
FUR-BO-10004834	Avery Recycled Flexi-View Covers for Binding Systems	Furniture
OFF-BI-10000474	"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"	Office Supplies
FUR-FU-10004848	Poly String Tie Envelopes	Furniture
OFF-EN-10001509	"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"	Office Supplies
OFF-AR-10004042	"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"	Office Supplies
OFF-BI-10001525	Lumber Crayons	Office Supplies
OFF-AR-10001683	Easy-staple paper	Office Supplies
OFF-PA-10000249	GE 30524EE4	Office Supplies
TEC-PH-10004977	"Electrix Architect's Clamp-On Swing Arm Lamp, Black"	Technology
FUR-FU-10003664	"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"	Furniture
OFF-EN-10002986	"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"	Office Supplies
FUR-BO-10002545	"Global Fabric Manager's Chair, Dark Gray"	Furniture
FUR-CH-10004218	Plantronics HL10 Handset Lifter	Furniture
TEC-PH-10000486	Panasonic Kx-TS550	Technology
TEC-PH-10004093	"Eldon Base for stackable storage shelf, platinum"	Technology
OFF-ST-10003479	"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"	Office Supplies
OFF-ST-10003282	"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"	Office Supplies
TEC-AC-10000171	Wilson Jones Leather-Like Binders with DublLock Round Rings	Technology
OFF-BI-10003291	"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"	Office Supplies
OFF-ST-10001713	Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive	Office Supplies
TEC-AC-10002167	"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"	Technology
TEC-PH-10003988	"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"	Technology
OFF-BI-10004410	Avery 485	Office Supplies
OFF-LA-10002762	Longer-Life Soft White Bulbs	Office Supplies
FUR-FU-10001706	"Global Leather Task Chair, Black"	Furniture
FUR-CH-10003061	Advantus Push Pins	Furniture
OFF-FA-10000304	AT&T CL83451 4-Handset Telephone	Office Supplies
TEC-PH-10002447	Home/Office Personal File Carts	Technology
OFF-ST-10000604	Xerox 232	Office Supplies
OFF-PA-10001569	Novimex Turbo Task Chair	Office Supplies
FUR-CH-10003968	"Array Parchment Paper, Assorted Colors"	Furniture
OFF-PA-10000587	Plastic Binding Combs	Office Supplies
TEC-AC-10002167	Prang Dustless Chalk Sticks	Technology
OFF-BI-10001460	"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"	Office Supplies
OFF-AR-10001868	"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""	Office Supplies
TEC-AC-10004633	Xerox 1943	Technology
OFF-BI-10001078	Luxo Economy Swing Arm Lamp	Office Supplies
OFF-PA-10003892	"Global Value Mid-Back Manager's Chair, Gray"	Office Supplies
FUR-FU-10000397	"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"	Furniture
FUR-CH-10001146	netTALK DUO VoIP Telephone Service	Furniture
OFF-AR-10002671	"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"	Office Supplies
TEC-PH-10002726	Avery Binding System Hidden Tab Executive Style Index Sets	Technology
OFF-PA-10000482	"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""	Office Supplies
OFF-BI-10004654	High-Back Leather Manager's Chair	Office Supplies
OFF-PA-10004675	"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""	Office Supplies
FUR-CH-10000513	Safco Industrial Wire Shelving System	Furniture
FUR-FU-10003708	Economy Binders	Furniture
OFF-ST-10004123	"6"" Cubicle Wall Clock, Black"	Office Supplies
OFF-BI-10004182	"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"	Office Supplies
FUR-FU-10000260	"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"	Furniture
OFF-ST-10000615	"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"	Office Supplies
FUR-FU-10003194	Avery Heavy-Duty EZD  Binder With Locking Rings	Furniture
OFF-AP-10002118	"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"	Office Supplies
OFF-BI-10002309	"Sortfiler Multipurpose Personal File Organizer, Black"	Office Supplies
OFF-AR-10002053	Jet-Pak Recycled Peel 'N' Seal Padded Mailers	Office Supplies
OFF-ST-10002370	Safco Industrial Wire Shelving	Office Supplies
OFF-EN-10000927	Novimex Swivel Fabric Task Chair	Office Supplies
OFF-ST-10003656	Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired	Office Supplies
FUR-CH-10000863	Avery 511	Furniture
TEC-AC-10001998	Eldon Portable Mobile Manager	Technology
OFF-LA-10000134	Turquoise Lead Holder with Pocket Clip	Office Supplies
OFF-ST-10003442	Xerox 1995	Office Supplies
OFF-AR-10004930	Xerox 1999	Office Supplies
TEC-PH-10004093	"Seth Thomas 13 1/2"" Wall Clock"	Technology
OFF-PA-10000304	Ibico Standard Transparent Covers	Office Supplies
OFF-PA-10003177	Flexible Leather- Look Classic Collection Ring Binder	Office Supplies
FUR-FU-10003799	9-3/4 Diameter Round Wall Clock	Furniture
OFF-BI-10002852	Trimflex Flexible Post Binders	Office Supplies
OFF-BI-10004738	Fellowes Basic Home/Office Series Surge Protectors	Office Supplies
FUR-FU-10000629	Avery Personal Creations Heavyweight Cards	Furniture
OFF-BI-10001721	SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card	Office Supplies
OFF-AP-10000358	Avery Hidden Tab Dividers for Binding Systems	Office Supplies
OFF-PA-10003256	Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)	Office Supplies
TEC-AC-10001767	Logitech K350 2.4Ghz Wireless Keyboard	Technology
OFF-BI-10002609	"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"	Office Supplies
OFF-PA-10004040	"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"	Office Supplies
TEC-AC-10001552	Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive	Technology
FUR-FU-10004006	Speck Products Candyshell Flip Case	Furniture
OFF-BI-10002794	Newell Chalk Holder	Office Supplies
TEC-AC-10003499	Logitech Gaming G510s - Keyboard	Technology
TEC-PH-10002844	Magnifier Swing Arm Lamp	Technology
OFF-AR-10000390	"Hunt PowerHouse Electric Pencil Sharpener, Blue"	Office Supplies
TEC-AC-10000844	"Avery Durable Plastic 1"" Binders"	Technology
FUR-FU-10001934	"OIC Colored Binder Clips, Assorted Sizes"	Furniture
OFF-AR-10000380	"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"	Office Supplies
OFF-BI-10003981	Xerox 1921	Office Supplies
OFF-FA-10000621	"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"	Office Supplies
OFF-EN-10002600	Hon Racetrack Conference Tables	Office Supplies
OFF-PA-10004965	GBC DocuBind 300 Electric Binding Machine	Office Supplies
OFF-EN-10002504	Artistic Insta-Plaque	Office Supplies
FUR-TA-10001768	"Companion Letter/Legal File, Black"	Furniture
OFF-BI-10003650	Globe Weis Peel & Seel First Class Envelopes	Office Supplies
FUR-FU-10002157	KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7	Furniture
OFF-BI-10003910	Global Deluxe High-Back Manager's Chair	Office Supplies
OFF-ST-10000777	Bevis 44 x 96 Conference Tables	Office Supplies
OFF-EN-10002500	"Avery Durable Slant Ring Binders, No Labels"	Office Supplies
TEC-PH-10003875	"Trav-L-File Heavy-Duty Shuttle II, Black"	Technology
FUR-CH-10004063	"Global Task Chair, Black"	Furniture
FUR-TA-10004534	Eldon Cleatmat Plus Chair Mats for High Pile Carpets	Furniture
OFF-BI-10003274	Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5	Office Supplies
OFF-ST-10002974	Xerox 1916	Office Supplies
FUR-CH-10001146	Staples	Furniture
FUR-FU-10003773	Xerox 195	Furniture
TEC-PH-10002293	Xerox 1880	Technology
OFF-PA-10002377	"Sanford Colorific Colored Pencils, 12/Box"	Office Supplies
OFF-FA-10002780	Ideal Clamps	Office Supplies
OFF-PA-10001804	GBC Wire Binding Strips	Office Supplies
OFF-PA-10001736	Fiskars Softgrip Scissors	Office Supplies
OFF-AR-10001149	Newell 343	Office Supplies
OFF-FA-10002988	Convenience Packs of Business Envelopes	Office Supplies
OFF-BI-10004781	Xerox 1911	Office Supplies
OFF-SU-10001218	Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators	Office Supplies
FUR-FU-10001706	"Seth Thomas 14"" Putty-Colored Wall Clock"	Furniture
FUR-FU-10004848	Plantronics Cordless Phone Headset with In-line Volume - M214C	Furniture
OFF-AR-10000940	Anker Astro 15000mAh USB Portable Charger	Office Supplies
OFF-EN-10004030	GBC Prestige Therm-A-Bind Covers	Office Supplies
OFF-PA-10004327	Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection	Office Supplies
OFF-AP-10001058	Jabra BIZ 2300 Duo QD Duo Corded Headset	Office Supplies
OFF-ST-10003656	Southworth 25% Cotton Antique Laid Paper & Envelopes	Office Supplies
FUR-FU-10000521	Xerox 1883	Furniture
TEC-PH-10000215	"Tenex Personal Project File with Scoop Front Design, Black"	Technology
TEC-PH-10001448	Newell 311	Technology
FUR-CH-10000454	Avery 519	Furniture
OFF-BI-10002735	Avaya 5420 Digital phone	Office Supplies
OFF-AP-10000326	Xerox 1920	Office Supplies
TEC-PH-10001254	Lenovo 17-Key USB Numeric Keypad	Technology
OFF-PA-10001950	Staple envelope	Office Supplies
OFF-PA-10002254	Wilson Jones International Size A4 Ring Binders	Office Supplies
OFF-ST-10001590	BIC Brite Liner Highlighters	Office Supplies
OFF-AR-10001547	Lexmark MX611dhe Monochrome Laser Printer	Office Supplies
FUR-CH-10004063	Space Solutions HD Industrial Steel Shelving.	Furniture
OFF-LA-10002475	SAFCO Arco Folding Chair	Office Supplies
TEC-PH-10004536	Sanford Liquid Accent Highlighters	Technology
OFF-PA-10002751	Kensington 7 Outlet MasterPiece Power Center	Office Supplies
TEC-AC-10003657	JBL Micro Wireless Portable Bluetooth Speaker	Technology
OFF-EN-10001990	"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”"	Office Supplies
OFF-BI-10004002	Xerox 1913	Office Supplies
OFF-AR-10004441	"Global Value Steno Chair, Gray"	Office Supplies
TEC-MA-10000822	Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center	Technology
OFF-ST-10000991	Avery 51	Office Supplies
FUR-CH-10004287	"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"	Furniture
OFF-AR-10002656	"Padded Folding Chairs, Black, 4/Carton"	Office Supplies
OFF-AP-10002518	Acme Rosewood Handle Letter Opener	Office Supplies
TEC-PH-10003931	"Sanford Colorific Eraseable Coloring Pencils, 12 Count"	Technology
OFF-PA-10000659	"Tenex File Box, Personal Filing Tote with Lid, Black"	Office Supplies
OFF-PA-10001144	Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB	Office Supplies
FUR-CH-10003817	AT&T TR1909W	Furniture
OFF-AP-10000891	Nokia Lumia 521 (T-Mobile)	Office Supplies
